A,B,C,D,E,F,G,H,O
209,101,101,107,114,126.4,41.57691667,133.0623914,0
209,101,101,108,113,126.4,41.54804448,133.0533727,0
208,101,101,107,112,125.8,41.30568968,132.4077037,0
207,101,101,107,111,125.4,40.97609059,131.9249787,0
205,101,101,106,113,125.2,40.14174884,131.4777548,0
204,101,101,107,111,124.8,39.78140269,130.9870223,0
205,99,99,106,111,124,40.75291401,130.5250934,0
208,100,100,106,112,125.2,41.63844377,131.9424117,0
209,100,100,106,111,125.2,42.10178143,132.0893637,0
207,99,99,105,112,124.4,41.57691667,131.1640195,0
206,100,100,107,112,125,40.75291401,131.475473,0
205,100,100,107,111,124.6,40.42078673,130.9923662,0
204,100,100,107,111,124.4,40.02299339,130.6797612,0
206,99,99,106,112,124.4,41.08819782,131.0099233,0
210,99,99,107,112,125.4,42.58920051,132.4348897,0
210,99,99,107,112,125.4,42.58920051,132.4348897,0
209,99,99,107,112,125.2,42.19194236,132.118129,0
209,99,99,107,112,125.2,42.19194236,132.118129,0
208,99,99,107,111,124.8,41.8588103,131.6328227,0
209,99,99,106,111,124.8,42.34335839,131.7877081,0
212,99,99,105,111,125.2,43.62751425,132.5835586,0
215,99,99,106,112,126.2,44.66497509,133.8708333,0
218,97,97,106,112,126,46.35083602,134.2549813,0
222,96,96,105,111,126,48.33632175,134.9533253,0
222,96,96,105,112,126.2,48.27587389,135.1184665,0
219,97,97,105,111,125.8,46.89733468,134.2572158,0
219,96,96,104,111,125.2,47.23303928,133.8133028,0
218,97,97,104,111,125.4,46.59012771,133.7751845,0
219,96,96,104,111,125.2,47.23303928,133.8133028,0
221,95,95,103,110,124.8,48.42478704,133.8656042,0
221,95,95,102,109,124.4,48.5781844,133.5484931,0
218,95,95,102,109,123.8,47.38522977,132.5586663,0
218,96,96,101,108,123.8,47.30496803,132.5299966,0
216,96,96,102,108,123.6,46.41379105,132.0272699,0
215,95,95,101,108,122.8,46.348247,131.2554761,0
221,95,95,102,107,124,48.71139497,133.2246223,0
225,95,95,102,107,124.8,50.30467175,134.5570511,0
225,95,95,102,107,124.8,50.30467175,134.5570511,0
226,95,95,101,106,124.6,50.8668851,134.5830599,0
225,94,94,102,107,124.4,50.54344666,134.2758355,0
224,93,93,102,107,123.8,50.38809383,133.6615128,0
225,93,93,102,106,123.8,50.85430169,133.8379617,0
225,93,93,101,106,123.6,50.94153512,133.6861997,0
225,93,93,102,105,123.6,50.92582842,133.6802154,0
229,93,93,100,105,124,52.69535084,134.7323272,0
231,94,94,99,104,124.4,53.42883117,135.3883304,0
228,94,94,99,104,123.8,52.23179109,134.3674068,0
226,94,94,100,104,123.6,51.34043241,133.8387089,0
226,93,93,100,104,123.2,51.57286108,133.5589757,0
225,92,92,99,103,122.2,51.57286108,132.6370989,0
227,92,92,97,102,122,52.63078947,132.8683559,0
230,93,93,98,102,123.2,53.5066351,134.3175342,0
231,93,93,98,101,123.2,53.98666502,134.5094792,0
231,92,92,100,100,123,54.11838874,134.3793139,0
229,92,92,100,100,122.6,53.32016504,133.6929318,0
228,92,92,100,99,122.2,53.00716933,133.2013513,0
228,92,92,99,99,122,53.09237233,133.0518696,0
228,93,93,99,99,122.4,52.86813785,133.3296666,0
226,92,92,100,98,121.6,52.29760989,132.3691807,0
227,91,91,100,100,121.8,52.75376764,132.7335677,0
229,91,91,99,100,122,53.63580893,133.2696515,0
227,92,92,98,99,121.6,52.78105721,132.5609294,0
228,92,92,99,99,122,53.09237233,133.0518696,0
230,92,92,100,99,122.6,53.80557592,133.887266,0
231,92,92,101,100,123.2,54.0348036,134.5288073,0
233,92,92,101,100,123.6,54.83283688,135.2168629,0
240,92,92,100,99,124.6,57.79826987,137.3528303,0
239,91,91,102,99,124.4,57.46511986,137.0313833,0
238,91,91,103,98,124.2,57.08029432,136.6886974,0
235,92,92,103,98,124,55.65249321,135.9161506,0
233,91,91,103,98,123.2,55.08684053,134.9548073,0
231,92,92,102,97,122.8,54.22693058,134.2400834,0
229,92,92,102,97,122.4,53.42883117,133.5529857,0
227,92,92,102,97,122,52.63078947,132.8683559,0
225,92,92,102,97,121.6,51.83280814,132.1862323,0
225,92,92,103,97,121.8,51.75867077,132.3412256,0
223,93,93,102,97,121.6,50.80787341,131.7877081,0
221,94,94,102,97,121.6,49.78594179,131.397108,0
222,93,93,102,97,121.4,50.4087294,131.4496101,0
222,93,93,100,97,121,50.56876506,131.1419079,0
225,95,95,101,97,122.6,51.24685356,132.8796448,0
232,95,95,102,97,124.2,53.96072646,135.4156564,0
231,95,95,101,96,123.6,53.74606962,134.7798204,0
230,95,95,102,95,123.4,53.3689048,134.4462718,0
231,97,97,102,96,124.6,53.24133732,135.4983395,0
230,97,97,101,95,124,53.03583694,134.8658593,0
230,97,97,101,96,124.2,52.92787545,135.0074072,0
231,97,97,101,97,124.6,53.22255161,135.4909591,0
232,97,97,101,99,125.2,53.42059528,136.1205348,0
229,98,98,100,101,125.2,51.91300415,135.5359731,0
232,100,100,99,99,126,53.00188676,136.6938184,0
232,101,101,99,99,126.4,52.80757521,136.9875907,0
231,100,100,100,99,126,52.50142855,136.5005494,0
230,100,100,99,99,125.6,52.20191567,136.0161755,0
228,101,101,98,98,125.2,51.41750675,135.3469615,0
227,101,101,98,97,124.8,51.12494499,134.8658593,0
230,103,103,98,96,126,52.07302565,136.3363488,0
231,102,102,97,95,125.4,52.87192071,136.0904111,0
230,102,102,97,96,125.4,52.3587624,135.8918688,0
236,103,103,98,95,127,54.58571242,138.2338598,0
235,103,103,97,94,126.4,54.41176343,137.6139528,0
232,103,103,99,93,126,53.12626469,136.742093,0
231,103,103,99,93,125.8,52.72722257,136.4030791,0
234,103,103,99,93,126.4,53.92439151,137.4219779,0
233,104,104,99,93,126.6,53.3539127,137.3834051,0
238,103,103,98,93,127,55.62373594,138.6470339,0
238,104,104,99,93,127.6,55.34835138,139.0870231,0
237,104,104,100,93,127.6,54.84742473,138.8884444,0
236,104,104,100,92,127.2,54.57618528,138.4138721,0
237,103,103,100,93,127.2,55.02145036,138.5900429,0
243,104,104,101,92,128.8,57.26918892,140.9581498,0
242,105,105,101,93,129.2,56.56995669,141.0418378,0
241,105,105,100,93,128.8,56.27219562,140.5560386,0
242,104,104,99,92,128.2,57.06978185,140.3288994,0
246,105,105,100,92,129.6,58.39383529,142.1478104,0
249,104,104,101,92,130,59.66238346,143.0370581,0
257,105,105,101,92,132,62.6801404,146.1259731,0
261,104,104,100,91,132,64.67456996,146.9925168,0
258,105,105,100,92,132,63.17911047,146.3406984,0
257,105,105,99,92,131.6,62.88274803,145.8519798,0
256,105,105,98,92,131.2,62.58881689,145.3643698,0
252,105,105,100,91,130.6,60.91502278,144.1075987,0
252,104,104,101,92,130.6,60.85918172,144.0840033,0
259,104,104,100,93,132,63.62703828,146.5346375,0
264,104,104,100,94,133.2,65.50236637,148.4344973,0
265,104,104,100,94,133.4,65.90174505,148.7904567,0
263,103,103,98,94,132.2,65.48709797,147.5310137,0
260,103,103,100,94,132,64.08431945,146.7337725,0
259,103,103,99,94,131.6,63.78589186,146.2436323,0
259,103,103,98,94,131.4,63.88927923,146.1088635,0
259,105,105,98,93,132,63.66160538,146.5496503,0
264,104,104,97,95,132.8,65.70053272,148.1634233,0
266,103,103,97,95,132.8,66.6765326,148.5987887,0
264,102,102,98,95,132.2,65.95271033,147.7382821,0
262,101,101,97,95,131.2,65.44127138,146.6151425,0
260,101,101,96,94,130.4,64.85861546,145.6392804,0
256,101,101,97,96,130.2,62.93298022,144.6118944,0
257,101,101,97,95,130.2,63.44257246,144.8343882,0
261,101,101,98,96,131.4,64.82777183,146.5216708,0
264,100,100,98,95,131.4,66.32525914,147.1903529,0
269,99,99,98,95,132,68.51569163,148.7225605,0
269,100,100,98,95,132.4,68.32451976,148.9899325,0
265,102,102,97,95,132.2,66.45720427,147.9641849,0
263,103,103,97,95,132.2,65.47793521,147.5269467,0
264,104,104,98,96,133.2,65.47793521,148.4237178,0
263,105,105,98,95,133.2,65.01815131,148.2214559,0
269,104,104,98,95,134,67.58994008,150.0813113,0
274,104,104,97,94,134.6,69.81002793,151.6265148,0
269,103,103,97,94,133.2,67.98941094,149.5486543,0
266,102,102,96,94,132,67.07607621,148.0648507,0
262,102,102,96,93,131,65.59268252,146.5039249,0
258,101,101,96,92,129.6,64.28872374,144.669278,0
258,100,100,96,91,129,64.58482794,144.2643407,0
260,100,100,96,90,129.2,65.50236637,144.8557904,0
256,101,101,96,90,128.8,63.7288004,143.7038622,0
257,100,100,97,90,128.8,64.20404972,143.9152528,0
261,101,101,97,90,130,65.62316664,145.6241738,0
259,101,101,96,90,129.4,64.92641989,144.7749978,0
256,102,102,96,89,129,63.68045226,143.8617392,0
256,101,101,96,88,128.4,63.97687082,143.4559166,0
254,101,101,96,89,128.2,63.05362797,142.8670711,0
259,101,101,96,88,129,65.17361429,144.5288898,0
265,102,102,95,88,130.4,67.49992593,146.8346008,0
263,101,101,95,88,129.6,66.87181768,145.8355238,0
261,100,100,95,87,128.6,66.37047536,144.7169651,0
259,100,100,94,87,128,65.67495718,143.8652147,0
256,99,99,94,87,127,64.64982599,142.5082454,0
253,98,98,94,86,125.8,63.7507647,141.0312022,0
254,98,98,94,85,125.8,64.27565636,141.2692465,0
253,98,98,94,85,125.6,63.87675634,140.9099003,0
252,97,97,94,84,124.8,63.77899341,140.1527738,0
252,96,96,94,83,124.2,64.08244689,139.7576474,0
251,96,96,94,83,124,63.68359286,139.397274,0
248,96,96,93,82,123,62.71204031,138.0644777,0
244,95,95,94,82,122,61.19803918,136.4888274,0
242,95,95,94,82,121.6,60.40066225,135.7748136,0
239,95,95,94,82,121,59.20472954,134.707832,0
240,96,96,94,82,121.6,59.42928571,135.3454839,0
239,95,95,94,81,120.8,59.33767774,134.586775,0
236,96,96,94,82,120.8,57.83562916,133.9313257,0
234,96,96,96,82,120.8,56.85912416,133.5125462,0
232,97,97,96,82,120.8,55.89060744,133.1029677,0
231,98,98,96,82,121,55.32449729,133.0481116,0
230,97,97,96,82,120.4,55.09482734,132.4069485,0
230,97,97,96,81,120.2,55.23549583,132.2837859,0
228,96,96,96,81,119.4,54.60988921,131.2958491,0
228,97,97,97,82,120.2,54.21217575,131.859774,0
226,97,97,99,82,120.2,53.25185443,131.4678668,0
223,97,97,99,82,119.6,52.05996542,130.4392579,0
222,97,97,100,83,119.8,51.44083981,130.3771452,0
220,96,96,101,83,119.2,50.75194578,129.5546217,0
219,97,97,101,82,119.2,50.32057233,129.3862435,0
220,96,96,101,82,119,50.89597234,129.4271996,0
220,96,96,102,83,119.4,50.68175214,129.7112177,0
218,95,95,102,82,118.4,50.21792509,128.6094864,0
215,95,95,103,82,118,48.96529383,127.7560175,0
214,94,94,103,82,117.4,48.75899917,127.1227753,0
216,94,94,103,82,117.8,49.55158928,127.7974961,0
214,93,93,103,82,117,48.95303872,126.8282303,0
213,92,92,102,81,116,48.95303872,125.9063144,0
213,94,94,102,81,116.8,48.569126,126.4958497,0
213,94,94,102,81,116.8,48.569126,126.4958497,0
213,94,94,101,81,116.6,48.63167692,126.3352682,0
214,94,94,103,81,117.2,48.9056234,126.9944881,0
212,95,95,103,81,117.2,47.92661056,126.6206934,0
212,94,94,104,80,116.8,48.20954262,126.3582209,0
213,95,95,104,80,117.4,48.41735226,126.9921257,0
213,95,95,103,80,117.2,48.4743231,126.8290188,0
217,96,96,103,80,118.4,49.87424185,128.4756786,0
214,96,96,104,79,117.8,48.78688348,127.5029411,0
212,96,96,104,79,117.4,47.9983333,126.832961,0
211,96,96,104,79,117.2,47.6042015,126.4990119,0
213,97,97,104,79,118,48.21617986,127.470781,0
212,97,97,103,78,117.4,48.04414637,126.8503055,0
215,97,97,103,78,118,49.22600939,127.8561692,0
212,98,98,104,79,118.2,47.65039349,127.4433207,0
214,98,98,104,79,118.6,48.43800161,128.1101089,0
213,98,98,105,78,118.4,48.15225851,127.8170568,0
211,98,98,105,79,118.2,47.19915253,127.2752922,0
209,99,99,107,79,118.6,46.13718674,127.2580056,0
209,99,99,107,79,118.6,46.13718674,127.2580056,0
210,100,100,108,80,119.6,46.13718674,128.1904833,0
208,100,100,108,80,119.2,45.35372091,127.5366614,0
210,100,100,107,81,119.6,46.01999565,128.1483515,0
210,99,99,107,80,119,46.35946505,127.7113934,0
208,101,101,106,80,119.2,45.29635747,127.5162735,0
208,102,102,106,80,119.6,45.13801059,127.8342677,0
209,102,102,106,79,119.6,45.70601711,128.0359325,0
207,101,101,105,79,118.6,45.13801059,126.8991726,0
209,100,100,104,78,118.2,46.31371287,126.9495963,0
209,101,101,103,79,118.6,46.05040716,127.2265696,0
208,101,101,103,79,118.4,45.65785803,126.8983845,0
212,101,101,103,78,119,47.40042194,128.092935,0
211,102,102,102,79,119.2,46.75638994,128.0421806,0
212,101,101,100,79,118.6,47.44934141,127.7395788,0
211,100,100,101,79,118.2,47.13130594,127.2501473,0
210,100,100,101,79,118,46.73756519,126.9188717,0
208,100,100,101,79,117.6,45.95040805,126.2584651,0
209,99,99,101,79,117.4,46.49989247,126.2735127,0
212,98,98,101,78,117.4,48.0066662,126.8361147,0
210,97,97,100,79,116.6,47.28889933,125.8244809,0
208,96,96,100,80,116,46.51021393,124.9767978,0
209,95,95,101,80,116,47.01489126,125.1654905,0
207,95,95,101,80,115.6,46.22380339,124.498996,0
207,95,95,101,80,115.6,46.22380339,124.498996,0
211,94,94,101,80,116,47.98749837,125.5340591,0
210,94,94,100,80,115.6,47.65542991,125.0375943,0
212,94,94,98,80,115.6,48.58641786,125.3953747,0
211,94,94,98,80,115.4,48.18962544,125.0575867,0
211,94,94,99,81,115.8,47.97249212,125.343528,0
210,93,93,99,81,115.2,47.75939698,124.7076581,0
208,93,93,100,81,115,46.89989339,124.1958131,0
208,93,93,100,81,115,46.89989339,124.1958131,0
210,92,92,99,81,114.8,47.94747126,124.4106105,0
213,92,92,99,81,115.4,49.13898656,125.4264725,0
212,94,94,99,81,116,48.36941182,125.6805474,0
210,95,95,98,82,116,47.3244123,125.2820817,0
207,94,94,97,82,114.8,46.38706716,123.8176078,0
206,94,94,97,82,114.6,45.98956403,123.4836022,0
204,94,94,97,82,114.2,45.19468995,122.8177512,0
205,95,95,97,81,114.6,45.56138716,123.3247745,0
205,95,95,96,81,114.4,45.64033304,123.1681777,0
206,95,95,96,81,114.6,46.03737612,123.501417,0
205,95,95,96,82,114.6,45.49549428,123.3004461,0
204,96,96,95,81,114.4,45.16015943,122.9910566,0
205,95,95,95,81,114.2,45.72264209,123.0130074,0
204,96,96,94,81,114.2,45.24776238,122.8372908,0
202,94,94,93,81,112.8,44.87048027,121.3968698,0
201,95,95,93,81,113,44.30801282,121.3762745,0
203,94,94,93,81,113,45.26809031,121.7300292,0
203,94,94,93,81,113,45.26809031,121.7300292,0
202,93,93,93,81,112.4,45.04042629,121.0883975,0
201,93,93,94,83,112.8,44.28272801,121.1808566,0
200,92,92,93,83,112,44.14974519,120.387707,0
198,93,93,93,82,111.8,43.31004502,119.8957881,0
202,95,95,93,82,113.4,44.56276473,121.8417006,0
202,94,94,93,81,112.8,44.87048027,121.3968698,0
203,93,93,94,82,113,45.21504174,121.7103118,0
204,93,93,93,81,112.8,45.83623021,121.7571353,0
204,94,94,93,81,113.2,45.66574208,122.0639177,0
202,93,93,92,82,112.4,44.99155476,121.0702276,0
201,93,93,92,83,112.4,44.4594197,120.8734876,0
200,94,94,92,82,112.4,44.02544719,120.7145393,0
199,94,94,92,82,112.2,43.62751425,120.3835537,0
200,94,94,92,81,112.2,44.16514463,120.5794344,0
200,95,95,92,81,112.6,44.00272719,120.8925142,0
199,95,95,92,80,112.2,43.75111427,120.428402,0
197,94,94,92,80,111.4,43.11658614,119.4529196,0
198,94,94,91,80,111.4,43.60550424,119.6302637,0
197,94,94,90,81,111.2,43.16202034,119.2828571,0
197,95,95,92,81,112,42.81121348,119.9032944,0
198,95,95,93,82,112.6,42.97254938,120.5213674,0
198,96,96,92,82,112.8,42.90640978,120.6847132,0
199,96,96,92,82,113,43.30357953,121.0132224,0
198,95,95,91,81,112,43.30357953,120.0799734,0
199,95,95,91,81,112.2,43.70080091,120.4101325,0
198,96,96,90,80,112,43.39585234,120.1132799,0
196,95,95,90,80,111.2,42.75230988,119.1352173,0
196,95,95,90,81,111.4,42.60798047,119.2702813,0
199,95,95,91,82,112.4,43.55961432,120.5454271,0
198,95,95,91,81,112,43.30357953,120.0799734,0
196,95,95,90,81,111.4,42.60798047,119.2702813,0
196,96,96,90,83,112.2,42.17297713,119.8640897,0
196,95,95,91,84,112.2,42.09227958,119.8357209,0
198,94,94,92,84,112.4,42.95858471,120.3295475,0
198,95,95,91,84,112.6,42.88869315,120.4914935,0
200,95,95,92,83,113,43.72184809,121.1635259,0
198,95,95,91,84,112.6,42.88869315,120.4914935,0
197,94,94,90,83,111.6,42.88869315,119.5575175,0
196,95,95,91,83,112,42.22795283,119.6962823,0
195,97,97,92,85,113.2,41.13587242,120.4425174,0
197,98,98,92,85,114,41.77559096,121.4133436,0
199,97,97,91,85,113.8,42.83176391,121.5935854,0
197,98,98,90,85,113.6,41.9933328,121.1131702,0
196,97,97,91,84,113,41.77559096,120.4748937,0
197,97,97,90,84,113,42.28001892,120.6507356,0
195,96,96,90,85,112.4,41.50469853,119.8181956,0
196,95,95,90,85,112.2,42.06376113,119.8257068,0
195,95,95,90,85,112,41.66533331,119.498954,0
194,95,95,90,85,111.8,41.26693592,119.1729835,0
193,95,95,89,85,111.4,40.97609059,118.6970935,0
195,94,94,90,84,111.4,41.95998093,119.0403293,0
195,94,94,91,84,111.6,41.85976589,119.1922816,0
196,94,94,91,83,111.6,42.39150858,119.3800653,0
194,94,94,91,82,111,41.73248135,118.5858339,0
193,95,95,90,83,111.2,41.13587242,118.5647502,0
193,95,95,90,84,111.4,41.0004878,118.705518,0
193,94,94,90,83,110.8,41.29600465,118.2455073,0
192,95,95,92,83,111.4,40.53936359,118.5470371,0
192,95,95,91,82,111,40.77744475,118.2531184,0
195,94,94,91,83,111.4,41.9933328,119.0520894,0
196,96,96,90,83,112.2,42.17297713,119.8640897,0
195,96,96,90,84,112.2,41.63844377,119.6770655,0
197,96,96,91,84,112.8,42.32918615,120.4807038,0
197,95,95,90,83,112,42.72704062,119.8732664,0
196,95,95,90,84,112,42.19478641,119.6845855,0
194,95,95,91,84,111.8,41.29600465,119.1830525,0
194,96,96,91,84,112.2,41.13587242,119.503138,0
193,96,96,91,85,112.2,40.60246298,119.3205766,0
192,96,96,91,85,112,40.20447736,118.997479,0
192,97,97,91,85,112.4,40.04797123,119.3214147,0
192,96,96,93,85,112.4,40.00299989,119.3063284,0
191,96,96,91,86,112,39.67366885,118.8191904,0
190,96,96,92,85,111.8,39.30597919,118.5082276,0
190,96,96,91,84,111.4,39.54541693,118.2108286,0
190,96,96,91,85,111.6,39.4086285,118.3537072,0
191,97,97,91,84,112,39.78944584,118.8578983,0
189,97,97,91,86,112,38.71950413,118.5040084,0
187,98,98,91,88,112.4,37.50519964,118.4921938,0
189,97,97,91,88,112.4,38.45828909,118.7973064,0
189,98,98,91,88,112.8,38.30091383,119.1251443,0
189,98,98,91,87,112.6,38.4322781,118.9781493,0
193,100,100,90,87,114,39.84469852,120.762577,0
191,100,100,91,86,113.6,39.07224079,120.1315945,0
189,98,98,90,87,112.4,38.54659518,118.8259231,0
192,98,98,90,87,113,39.73914946,119.7839722,0
194,99,99,89,87,113.6,40.50481453,120.6051409,0
196,99,99,90,86,114,41.31343607,121.255103,0
195,100,100,91,85,114.2,40.7990196,121.2691222,0
195,100,100,90,86,114.2,40.77450184,121.2608758,0
196,99,99,90,86,114,41.31343607,121.255103,0
196,98,98,91,86,113.8,41.34924425,121.0793128,0
197,99,99,91,85,114.2,41.73439828,121.5870059,0
197,98,98,91,85,113.8,41.88269332,121.2625251,0
195,98,98,91,84,113.2,41.22814573,120.4740636,0
196,97,97,92,86,113.6,41.3985507,120.9082297,0
195,97,97,92,86,113.4,41.0004878,120.5844103,0
197,97,97,91,86,113.6,41.90274454,121.0817905,0
196,97,97,91,86,113.4,41.50469853,120.7567803,0
194,97,97,92,85,113,40.73818847,120.1191076,0
193,97,97,93,85,113,40.23928429,119.9508233,0
195,97,97,93,86,113.6,40.89792171,120.7377323,0
194,97,97,94,86,113.6,40.40099009,120.5703114,0
195,97,97,93,85,113.4,41.03461953,120.5960198,0
193,97,97,94,85,113.2,40.14174884,120.1066193,0
194,97,97,95,85,113.6,40.44551891,120.5852396,0
194,96,96,94,85,113,40.70380818,120.1074519,0
193,96,96,95,86,113.2,40.07692603,120.0849699,0
193,96,96,95,86,113.2,40.07692603,120.0849699,0
191,96,96,95,86,112.8,39.28052953,119.4437106,0
195,97,97,94,86,113.8,40.7990196,120.8925142,0
196,96,96,95,85,113.6,41.40821175,120.9115379,0
197,96,96,95,87,114.2,41.53745298,121.5195458,0
196,97,97,94,86,114,41.19708728,121.2155106,0
195,97,97,93,86,113.6,40.89792171,120.7377323,0
194,97,97,93,86,113.4,40.49987654,120.4151153,0
195,96,96,93,85,113,41.19708728,120.275517,0
194,95,95,92,85,112.2,41.06287861,119.4780315,0
193,97,97,92,86,113,40.20447736,119.9391512,0
192,96,96,92,86,112.4,39.96798719,119.2945933,0
191,96,96,92,86,112.2,39.56968537,118.9731062,0
191,96,96,92,87,112.4,39.43906693,119.1184285,0
192,96,96,93,87,112.8,39.73612966,119.5943142,0
191,96,96,93,87,112.6,39.3375139,119.273635,0
190,97,97,92,87,112.6,38.8772427,119.1226259,0
190,97,97,93,87,112.8,38.77318661,119.2778269,0
190,96,96,94,87,112.6,38.84121522,119.1108727,0
191,97,97,95,87,113.4,38.97486369,119.9108002,0
192,96,96,94,88,113.2,39.50898632,119.8966221,0
191,96,96,94,89,113.2,38.98409932,119.7246842,0
191,97,97,94,89,113.6,38.81030791,120.0466576,0
194,96,96,94,89,113.8,40.18158782,120.6855418,0
194,95,95,94,88,113.2,40.48407094,120.2214623,0
192,96,96,94,89,113.4,39.38324517,120.0441585,0
193,97,97,94,91,114.4,39.36292672,120.9826434,0
192,97,97,93,92,114.2,38.95330538,120.6606813,0
193,97,97,93,92,114.4,39.35276356,120.9793371,0
